trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
391,False,"{'a': 0.4, 'e': 0.020040501061684018}",25,7,33.33213968636017,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.4, 'e': 0.01984109474437029}",20,5,25.89126772093808,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.4, 'e': 0.019643672553065296}",25,9,31.870983347842174,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.4, 'e': 0.019448214745385394}",20,8,21.66071409821976,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.4, 'e': 0.019254701775386924}",20,16,6.824917930349125,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.4, 'e': 0.01906311429161164}",20,6,27.358514777899774,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.4, 'e': 0.01887343313515149}",20,16,9.179647289356712,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.4, 'e': 0.018685639337732776}",25,20,9.85873181220891,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.4, 'e': 0.018499714119819245}",20,4,26.690971572039953,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.4, 'e': 0.018315638888734186}",25,15,19.70325725694513,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.4, 'e': 0.01813339523680108}",20,6,23.700630504099067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.4, 'e': 0.017952964939502852}",20,8,9.619938664638386,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
403,False,"{'a': 0.4, 'e': 0.017774329953659445}",20,9,20.02436408004857,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.4, 'e': 0.017597472415623396}",20,12,17.423619684551465,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.4, 'e': 0.017422374639493518}",25,11,26.02986240594539,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.4, 'e': 0.017249019115346268}",20,7,28.497613523334305,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.4, 'e': 0.0170773885074848}",30,21,16.27109145841545,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.4, 'e': 0.016907465652705282}",20,3,31.188585524117,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.4, 'e': 0.016739233558580636}",25,20,8.827611469414617,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.4, 'e': 0.016572675401761258}",20,16,8.546167964535204,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.4, 'e': 0.01640777452629265}",20,10,18.884187105513664,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.4, 'e': 0.016244514441949874}",20,9,21.529738567528426,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.4, 'e': 0.016082878822588437}",20,8,26.388334110674887,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.4, 'e': 0.0159228515045117}",25,13,23.539270627868326,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.4, 'e': 0.01576441648485449}",25,18,13.892946821980157,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
